scenario,param,rte_dmap_p2pl,rte_dmap_p2pl,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_dmap_p2pl,rre_dmap_p2pl,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,1.33,1.33,+0.01,0.01,+0.8,True,0.129,0.129,-0.001,0.001,-0.8,True
nav_a_omni,0.50m,1.09,1.09,-0.02,0.02,-1.8,True,0.102,0.102,-0.005,0.005,-4.9,True
loop,0.50m,4.48,4.48,-0.05,0.05,-1.1,False,0.281,0.281,-0.002,0.002,-0.7,True
slippage,0.50m,0.90,0.90,+0.00,0.00,+0.0,True,0.081,0.081,+0.003,0.003,+3.7,True
nav_a_diff,1.00m,1.21,1.21,+0.09,0.09,+7.4,False,0.120,0.120,+0.000,0.000,+0.0,True
nav_a_omni,1.00m,1.09,1.09,+0.02,0.02,+1.8,True,0.108,0.108,+0.001,0.001,+0.9,True
loop,1.00m,4.18,4.18,-0.25,0.25,-6.0,False,0.254,0.254,-0.008,0.008,-3.1,False
slippage,1.00m,1.19,1.19,-0.27,0.27,-22.7,False,0.136,0.136,-0.039,0.039,-28.7,False
nav_a_diff,1.50m,1.23,1.23,+0.01,0.01,+0.8,True,0.114,0.114,+0.007,0.007,+6.1,False
nav_a_omni,1.50m,1.18,1.18,-0.06,0.06,-5.1,False,0.110,0.110,-0.008,0.008,-7.3,False
loop,1.50m,3.80,3.80,+0.03,0.03,+0.8,True,0.227,0.227,+0.000,0.000,+0.0,True
slippage,1.50m,0.77,0.77,+0.01,0.01,+1.3,True,0.051,0.051,+0.000,0.000,+0.0,True
nav_a_diff,2.00m,1.15,1.15,-0.02,0.02,-1.7,True,0.105,0.105,-0.002,0.002,-1.9,True
nav_a_omni,2.00m,1.07,1.07,-0.02,0.02,-1.9,True,0.105,0.105,-0.002,0.002,-1.9,True
loop,2.00m,3.20,3.20,+0.01,0.01,+0.3,True,0.188,0.188,+0.000,0.000,+0.0,True
slippage,2.00m,0.76,0.76,+0.24,0.24,+31.6,False,0.042,0.042,+0.011,0.011,+26.2,False
nav_a_diff,2.50m,1.18,1.18,-0.05,0.05,-4.2,False,0.103,0.103,+0.003,0.003,+2.9,True
nav_a_omni,2.50m,1.05,1.05,-0.07,0.07,-6.7,False,0.088,0.088,+0.005,0.005,+5.7,False
loop,2.50m,3.48,3.48,+0.02,0.02,+0.6,True,0.188,0.188,+0.001,0.001,+0.5,True
slippage,2.50m,0.70,0.70,+0.11,0.11,+15.7,False,0.045,0.045,+0.015,0.015,+33.3,False
nav_a_diff,3.00m,1.26,1.26,-0.04,0.04,-3.2,True,0.121,0.121,+0.002,0.002,+1.7,True
nav_a_omni,3.00m,0.90,0.90,+0.34,0.34,+37.8,False,0.084,0.084,+0.034,0.034,+40.5,False
loop,3.00m,2.45,2.45,-0.19,0.19,-7.8,False,0.161,0.161,-0.005,0.005,-3.1,False
slippage,3.00m,1.02,1.02,-0.05,0.05,-4.9,False,0.116,0.116,-0.004,0.004,-3.4,True
nav_a_diff,40%,0.98,0.98,+0.05,0.05,+5.1,False,0.086,0.086,+0.001,0.001,+1.2,True
nav_a_omni,40%,0.87,0.87,+0.13,0.13,+14.9,False,0.089,0.089,-0.004,0.004,-4.5,True
loop,40%,1.91,1.91,+0.18,0.18,+9.4,False,0.121,0.121,+0.003,0.003,+2.5,True
slippage,40%,0.67,0.67,+0.25,0.25,+37.3,False,0.065,0.065,+0.033,0.033,+50.8,False
nav_a_diff,50%,1.17,1.17,-0.15,0.15,-12.8,False,0.111,0.111,-0.021,0.021,-18.9,False
nav_a_omni,50%,0.94,0.94,-0.02,0.02,-2.1,True,0.085,0.085,+0.002,0.002,+2.4,True
loop,50%,2.90,2.90,+0.28,0.28,+9.7,False,0.140,0.140,+0.008,0.008,+5.7,False
slippage,50%,0.83,0.83,+0.23,0.23,+27.7,False,0.059,0.059,+0.074,0.074,+125.4,False
nav_a_diff,60%,1.26,1.26,-0.02,0.02,-1.6,True,0.118,0.118,-0.010,0.010,-8.5,False
nav_a_omni,60%,1.10,1.10,+0.01,0.01,+0.9,True,0.096,0.096,+0.008,0.008,+8.3,False
loop,60%,3.10,3.10,+0.14,0.14,+4.5,False,0.152,0.152,+0.016,0.016,+10.5,False
slippage,60%,0.89,0.89,+0.09,0.09,+10.1,False,0.068,0.068,-0.018,0.018,-26.5,False
nav_a_diff,70%,1.36,1.36,+0.01,0.01,+0.7,True,0.125,0.125,+0.004,0.004,+3.2,True
nav_a_omni,70%,1.07,1.07,+0.04,0.04,+3.7,True,0.095,0.095,+0.011,0.011,+11.6,False
loop,70%,3.86,3.86,+0.01,0.01,+0.3,True,0.223,0.223,+0.002,0.002,+0.9,True
slippage,70%,1.19,1.19,-0.03,0.03,-2.5,True,0.072,0.072,-0.010,0.010,-13.9,False
nav_a_diff,80%,2.09,2.09,+0.51,0.51,+24.4,False,0.155,0.155,+0.019,0.019,+12.3,False
nav_a_omni,80%,2.54,2.54,+0.08,0.08,+3.1,False,0.209,0.209,+0.007,0.007,+3.3,False
loop,80%,7.03,7.03,+0.58,0.58,+8.3,False,0.237,0.237,+0.013,0.013,+5.5,False
slippage,80%,7.73,7.73,+0.26,0.26,+3.4,False,0.252,0.252,-0.012,0.012,-4.8,False
nav_a_diff,90%,14.08,14.08,-0.06,0.06,-0.4,False,0.628,0.628,+0.002,0.002,+0.3,True
nav_a_omni,90%,12.10,12.10,+0.00,0.00,+0.0,True,0.578,0.578,-0.001,0.001,-0.2,True
loop,90%,11.22,11.22,+0.11,0.11,+1.0,False,0.622,0.622,-0.011,0.011,-1.8,False
slippage,90%,16.12,16.12,-0.09,0.09,-0.6,False,0.461,0.461,+0.011,0.011,+2.4,False
