scenario,param,rte_icp_p2p,rte_icp_p2p,signed_diff_rte_(A-B),abs_diff_rte,rel_diff_rte_%_(A-B),within_thresh_rte,rre_icp_p2p,rre_icp_p2p,signed_diff_rre_(A-B),abs_diff_rre,rel_diff_rre_%_(A-B),within_thresh_rre
nav_a_diff,0.50m,3.01,3.01,+0.02,0.02,+0.7,True,0.175,0.175,+0.005,0.005,+2.9,False
nav_a_omni,0.50m,2.54,2.54,+0.02,0.02,+0.8,True,0.124,0.124,+0.009,0.009,+7.3,False
loop,0.50m,5.95,5.95,-0.32,0.32,-5.4,False,0.308,0.308,-0.011,0.011,-3.6,False
slippage,0.50m,1.19,1.19,+0.01,0.01,+0.8,True,0.083,0.083,-0.013,0.013,-15.7,False
nav_a_diff,1.00m,2.05,2.05,-0.04,0.04,-2.0,True,0.154,0.154,+0.000,0.000,+0.0,True
nav_a_omni,1.00m,1.80,1.80,-0.04,0.04,-2.2,True,0.125,0.125,-0.008,0.008,-6.4,False
loop,1.00m,4.33,4.33,+0.13,0.13,+3.0,False,0.234,0.234,+0.001,0.001,+0.4,True
slippage,1.00m,0.60,0.60,-0.03,0.03,-5.0,True,0.092,0.092,-0.025,0.025,-27.2,False
nav_a_diff,1.50m,1.69,1.69,-0.13,0.13,-7.7,False,0.147,0.147,-0.014,0.014,-9.5,False
nav_a_omni,1.50m,1.47,1.47,+0.03,0.03,+2.0,True,0.104,0.104,+0.003,0.003,+2.9,True
loop,1.50m,3.13,3.13,-0.16,0.16,-5.1,False,0.188,0.188,-0.008,0.008,-4.3,False
slippage,1.50m,0.50,0.50,+0.20,0.20,+40.0,False,0.053,0.053,-0.001,0.001,-1.9,True
nav_a_diff,2.00m,1.42,1.42,-0.02,0.02,-1.4,True,0.124,0.124,-0.001,0.001,-0.8,True
nav_a_omni,2.00m,1.32,1.32,-0.13,0.13,-9.8,False,0.115,0.115,-0.015,0.015,-13.0,False
loop,2.00m,2.84,2.84,-0.28,0.28,-9.9,False,0.194,0.194,-0.014,0.014,-7.2,False
slippage,2.00m,0.49,0.49,+0.18,0.18,+36.7,False,0.057,0.057,-0.001,0.001,-1.8,True
nav_a_diff,2.50m,1.31,1.31,-0.07,0.07,-5.3,False,0.114,0.114,-0.004,0.004,-3.5,True
nav_a_omni,2.50m,1.09,1.09,+0.04,0.04,+3.7,True,0.087,0.087,-0.005,0.005,-5.7,True
loop,2.50m,3.83,3.83,-0.28,0.28,-7.3,False,0.200,0.200,-0.019,0.019,-9.5,False
slippage,2.50m,0.47,0.47,+0.20,0.20,+42.6,False,0.057,0.057,-0.012,0.012,-21.1,False
nav_a_diff,3.00m,1.55,1.55,-0.22,0.22,-14.2,False,0.117,0.117,-0.004,0.004,-3.4,True
nav_a_omni,3.00m,1.54,1.54,+0.05,0.05,+3.2,False,0.103,0.103,-0.008,0.008,-7.8,False
loop,3.00m,3.66,3.66,-0.06,0.06,-1.6,False,0.190,0.190,-0.004,0.004,-2.1,True
slippage,3.00m,0.78,0.78,-0.11,0.11,-14.1,False,0.062,0.062,-0.024,0.024,-38.7,False
nav_a_diff,40%,1.10,1.10,+0.00,0.00,+0.0,True,0.100,0.100,-0.001,0.001,-1.0,True
nav_a_omni,40%,0.97,0.97,+0.10,0.10,+10.3,False,0.080,0.080,+0.012,0.012,+15.0,False
loop,40%,3.16,3.16,+0.20,0.20,+6.3,False,0.179,0.179,+0.013,0.013,+7.3,False
slippage,40%,0.62,0.62,-0.06,0.06,-9.7,False,0.067,0.067,-0.012,0.012,-17.9,False
nav_a_diff,50%,1.32,1.32,+0.00,0.00,+0.0,True,0.119,0.119,-0.003,0.003,-2.5,True
nav_a_omni,50%,1.02,1.02,+0.14,0.14,+13.7,False,0.087,0.087,-0.005,0.005,-5.7,True
loop,50%,2.84,2.84,+0.11,0.11,+3.9,False,0.142,0.142,+0.016,0.016,+11.3,False
slippage,50%,0.86,0.86,-0.14,0.14,-16.3,False,0.087,0.087,-0.022,0.022,-25.3,False
nav_a_diff,60%,1.49,1.49,-0.01,0.01,-0.7,True,0.135,0.135,-0.002,0.002,-1.5,True
nav_a_omni,60%,1.15,1.15,+0.06,0.06,+5.2,False,0.101,0.101,-0.001,0.001,-1.0,True
loop,60%,3.11,3.11,+0.04,0.04,+1.3,True,0.168,0.168,+0.001,0.001,+0.6,True
slippage,60%,0.47,0.47,+0.17,0.17,+36.2,False,0.045,0.045,+0.003,0.003,+6.7,True
nav_a_diff,70%,1.87,1.87,-0.07,0.07,-3.7,False,0.152,0.152,-0.005,0.005,-3.3,False
nav_a_omni,70%,1.52,1.52,+0.08,0.08,+5.3,False,0.098,0.098,+0.012,0.012,+12.2,False
loop,70%,4.39,4.39,-0.07,0.07,-1.6,False,0.210,0.210,-0.001,0.001,-0.5,True
slippage,70%,0.55,0.55,+0.33,0.33,+60.0,False,0.052,0.052,+0.018,0.018,+34.6,False
nav_a_diff,80%,2.46,2.46,+0.08,0.08,+3.3,False,0.162,0.162,+0.007,0.007,+4.3,False
nav_a_omni,80%,2.03,2.03,+0.11,0.11,+5.4,False,0.111,0.111,+0.000,0.000,+0.0,True
loop,80%,5.41,5.41,-0.17,0.17,-3.1,False,0.253,0.253,-0.006,0.006,-2.4,False
slippage,80%,0.91,0.91,-0.08,0.08,-8.8,False,0.061,0.061,-0.004,0.004,-6.6,True
nav_a_diff,90%,5.13,5.13,+0.01,0.01,+0.2,True,0.303,0.303,-0.005,0.005,-1.7,False
nav_a_omni,90%,4.06,4.06,-0.05,0.05,-1.2,True,0.178,0.178,-0.001,0.001,-0.6,True
loop,90%,10.32,10.32,-0.31,0.31,-3.0,False,0.420,0.420,-0.017,0.017,-4.0,False
slippage,90%,2.40,2.40,+0.23,0.23,+9.6,False,0.075,0.075,+0.024,0.024,+32.0,False
