,,nav_a_diff_rte,nav_a_diff_rre,nav_a_omni_rte,nav_a_omni_rre,loop_rte,loop_rre,slippage_rte,slippage_rre,
dmap_p2p,0.50m,3.01,0.188,2.62,0.148,6.03,0.325,1.05,0.070,
dmap_p2p,1.00m,2.04,0.161,1.94,0.102,4.48,0.235,0.58,0.065,
dmap_p2p,1.50m,1.78,0.144,1.59,0.090,2.92,0.179,0.54,0.050,
dmap_p2p,2.00m,1.50,0.130,1.42,0.090,3.20,0.199,0.52,0.038,
dmap_p2p,2.50m,1.30,0.111,1.28,0.093,3.60,0.197,0.53,0.036,
dmap_p2p,3.00m,1.55,0.126,1.41,0.119,4.60,0.226,0.54,0.057,
dmap_p2p,40%,1.17,0.114,1.16,0.088,2.58,0.154,0.54,0.053,
dmap_p2p,50%,1.38,0.110,1.34,0.092,2.99,0.141,0.57,0.051,
dmap_p2p,60%,1.60,0.127,1.51,0.093,3.19,0.170,0.58,0.039,
dmap_p2p,70%,1.86,0.141,1.65,0.091,4.43,0.217,0.60,0.052,
dmap_p2p,80%,2.45,0.163,2.19,0.117,5.46,0.266,0.93,0.076,
dmap_p2p,90%,5.38,0.311,4.02,0.186,9.76,0.410,2.47,0.070,
dmap_p2pl,0.50m,1.65,0.158,1.35,0.103,4.19,0.285,1.13,0.120,
dmap_p2pl,1.00m,1.33,0.114,1.18,0.105,3.80,0.236,0.74,0.093,
dmap_p2pl,1.50m,1.28,0.122,1.05,0.083,2.94,0.210,0.79,0.115,
dmap_p2pl,2.00m,1.11,0.119,0.87,0.070,2.75,0.165,0.69,0.095,
dmap_p2pl,2.50m,1.05,0.091,1.06,0.089,2.92,0.184,0.76,0.099,
dmap_p2pl,3.00m,1.53,0.109,1.30,0.113,3.29,0.149,0.71,0.075,
dmap_p2pl,40%,1.06,0.090,0.97,0.087,1.75,0.121,0.79,0.078,
dmap_p2pl,50%,1.15,0.100,0.94,0.089,2.27,0.146,0.65,0.083,
dmap_p2pl,60%,1.10,0.104,0.84,0.079,2.68,0.150,0.76,0.118,
dmap_p2pl,70%,1.23,0.117,0.84,0.079,3.66,0.216,0.67,0.076,
dmap_p2pl,80%,3.04,0.158,5.02,0.214,6.84,0.255,5.08,0.079,
dmap_p2pl,90%,7.97,0.215,9.50,0.211,8.29,0.137,6.99,0.242,
icp_p2p,0.50m,3.01,0.175,2.54,0.124,5.95,0.308,1.19,0.083,
icp_p2p,1.00m,2.05,0.154,1.80,0.125,4.33,0.234,0.60,0.092,
icp_p2p,1.50m,1.69,0.147,1.47,0.104,3.13,0.188,0.50,0.053,
icp_p2p,2.00m,1.42,0.124,1.32,0.115,2.84,0.194,0.49,0.057,
icp_p2p,2.50m,1.31,0.114,1.09,0.087,3.83,0.200,0.47,0.057,
icp_p2p,3.00m,1.55,0.117,1.54,0.103,3.66,0.190,0.78,0.062,
icp_p2p,40%,1.10,0.100,0.97,0.080,3.16,0.179,0.62,0.067,
icp_p2p,50%,1.32,0.119,1.02,0.087,2.84,0.142,0.86,0.087,
icp_p2p,60%,1.49,0.135,1.15,0.101,3.11,0.168,0.47,0.045,
icp_p2p,70%,1.87,0.152,1.52,0.098,4.39,0.210,0.55,0.052,
icp_p2p,80%,2.46,0.162,2.03,0.111,5.41,0.253,0.91,0.061,
icp_p2p,90%,5.13,0.303,4.06,0.178,10.32,0.420,2.40,0.075,
icp_p2pl,0.50m,1.63,0.153,1.34,0.101,4.20,0.285,1.13,0.120,
icp_p2pl,1.00m,1.38,0.115,1.18,0.106,3.81,0.236,0.74,0.093,
icp_p2pl,1.50m,1.32,0.127,1.04,0.081,2.88,0.209,0.79,0.115,
icp_p2pl,2.00m,1.10,0.114,0.88,0.071,2.74,0.161,0.69,0.095,
icp_p2pl,2.50m,1.04,0.090,1.02,0.083,2.91,0.184,0.76,0.099,
icp_p2pl,3.00m,1.51,0.115,1.24,0.108,3.55,0.154,0.71,0.075,
icp_p2pl,40%,1.14,0.091,0.93,0.097,1.74,0.123,0.79,0.078,
icp_p2pl,50%,1.06,0.102,0.84,0.091,2.13,0.137,0.65,0.083,
icp_p2pl,60%,1.05,0.111,0.84,0.081,2.72,0.151,0.76,0.115,
icp_p2pl,70%,1.19,0.121,0.83,0.080,3.82,0.213,0.67,0.076,
icp_p2pl,80%,3.03,0.158,4.98,0.230,7.04,0.259,5.04,0.079,
icp_p2pl,90%,7.96,0.219,9.48,0.211,8.28,0.135,6.94,0.241,
